colony_number,block,treatment,triad,experiment_census_day,wax_moth,worker_number,campus_location,rearing_location,number_of_workers_at_exposure_start,time_to_egg_laying,time_to_6_workers,time_to_exposure_start,queen_capture_day
12,1,sivanto,3,105,N,0,BA,porkka,11,11,56,61,1
171,1,sivanto,4,105,N,0,BG,porkka,6,9,30,35,27
177,1,flup,4,105,N,0,BG,porkka,6,9,34,35,27
116,1,control,4,105,N,0,BG,porkka,7,7,39,40,22
198,3,flup,12,98,N,0,WA,porkka,6,11,39,40,30
83,3,sivanto,11,98,N,0,M,porkka,7,28,50,51,19
159,3,sivanto,10,98,N,0,BG,porkka,9,9,42,43,27
77,3,flup,11,98,N,0,M,porkka,6,24,50,51,19
105,3,control,9,98,N,0,BA,porkka,10,9,49,50,20
181,3,flup,9,98,N,0,BA,porkka,14,9,42,43,27
72,3,control,12,98,N,0,WA,porkka,5,17,50,51,19
197,3,sivanto,9,98,N,0,BA,porkka,11,6,32,40,30
174,3,sivanto,12,98,N,0,WA,porkka,6,9,42,43,27
203,3,control,11,98,N,0,M,porkka,7,24,39,40,30
123,3,flup,10,98,N,0,BG,porkka,9,7,47,48,22
4,3,control,10,98,N,0,BG,porkka,10,11,68,69,1
96,2,control,5,105,N,0,BG,porkka,10,8,41,44,20
76,2,sivanto,5,105,N,0,BG,porkka,19,9,42,45,19
46,2,flup,5,105,N,0,BG,porkka,10,18,51,54,10
104,2,sivanto,6,105,N,0,M,porkka,8,9,41,44,20
87,2,control,6,105,N,0,M,porkka,8,8,41,44,20
33,2,control,7,105,N,0,WA,porkka,7,10,52,55,9
170,2,flup,7,105,N,0,WA,porkka,7,9,34,37,27
119,2,flup,8,105,N,0,BA,porkka,5,14,39,42,22
124,2,flup,6,105,N,0,M,porkka,10,7,39,42,22
131,2,control,8,105,N,0,BA,porkka,6,7,39,42,22
127,2,sivanto,7,105,N,0,WA,porkka,7,14,39,42,22
143,2,sivanto,8,105,N,0,BA,porkka,7,7,39,42,22
42,4,sivanto,13,91,N,0,WA,porkka,14,23,67,69,10
39,4,control,13,91,N,0,WA,porkka,20,27,68,70,9
79,4,control,15,91,N,0,BG,porkka,10,17,58,60,19
84,4,sivanto,15,91,N,0,BG,porkka,7,17,58,60,19
134,4,flup,13,91,N,0,WA,porkka,15,7,55,57,22
163,4,sivanto,14,91,N,0,BA,porkka,10,9,50,52,27
176,4,sivanto,16,91,N,0,M,porkka,5,9,50,52,27
194,4,flup,14,91,N,0,BA,porkka,16,11,47,49,30
214,4,control,16,91,N,0,M,porkka,8,24,47,49,30
248,4,control,14,91,N,0,BA,bee_room,8,20,42,44,35
237,4,flup,15,91,N,0,BG,bee_room,9,20,42,44,35
229,4,flup,16,91,N,0,M,bee_room,8,20,42,44,35
