colony_number,date_caught,location,rearing_location,date_of_queen_death,date_of_egg_laying,date_of_second_screen,second_screen_passed,date_of_first_worker,date_of_6_workers,date_of_colony_box_move,date_of_exposure_start,number_of_workers_at_exposure_start,treatment_assigned
151,18.03.22,windsor great park,porkka,,11.04.22,22.03.22,Y,,,,,,
152,18.03.22,windsor great park,porkka,,,22.03.22,Y,,,,,,
153,18.03.22,windsor great park,porkka,,31.03.22,22.03.22,Y,,,,,,
154,18.03.22,windsor great park,porkka,,31.03.22,22.03.22,Y,,,,,,
155,18.03.22,windsor great park,porkka,,24.03.22,22.03.22,Y,,,,,,
156,15.03.22,windsor great park,porkka,,24.03.22,22.03.22,Y,19.04.22,,,,,
157,15.03.22,windsor great park,porkka,24.03.22,,22.03.22,Y,,,,,,
158,15.03.22,windsor great park,porkka,29.03.22,,22.03.22,Y,,,,,,
159,15.03.22,windsor great park,porkka,,24.03.22,22.03.22,Y,19.04.22,26.04.22,26.04.22,27.04.22,9,sivanto
160,15.03.22,windsor great park,porkka,,29.03.22,22.03.22,Y,,,,,,
161,15.03.22,windsor great park,porkka,07.04.22,,22.03.22,Y,,,,,,
162,15.03.22,windsor great park,porkka,,24.03.22,22.03.22,Y,,,,,,
163,15.03.22,windsor great park,porkka,,24.03.22,22.03.22,Y,04.05.22,04.05.22,04.05.22,06.05.22,10,sivanto
164,15.03.22,windsor great park,porkka,,11.04.22,22.03.22,Y,,,,,,
165,15.03.22,windsor great park,porkka,,11.04.22,22.03.22,Y,,,,,,
166,15.03.22,windsor great park,porkka,,,22.03.22,Y,,,,,,
167,15.03.22,windsor great park,porkka,,24.03.22,22.03.22,Y,,,,,,
168,15.03.22,windsor great park,porkka,,,22.03.22,Y,,,,,,
169,15.03.22,windsor great park,porkka,,,22.03.22,N,,,,,,
170,15.03.22,windsor great park,porkka,,24.03.22,30.03.22,Y,14.04.22,18.04.22,18.04.22,21.04.22,7,flup
171,15.03.22,windsor great park,porkka,,24.03.22,30.03.22,Y,11.04.22,14.04.22,14.04.22,19.04.22,6,sivanto
172,15.03.22,windsor great park,porkka,,,30.03.22,Y,,,,,,
173,15.03.22,windsor great park,porkka,,29.03.22,30.03.22,Y,,,,,,
174,15.03.22,windsor great park,porkka,,24.03.22,30.03.22,Y,19.04.22,26.04.22,26.04.22,27.04.22,6,sivanto
175,15.03.22,windsor great park,porkka,,31.03.22,30.03.22,Y,,,,,,
176,15.03.22,windsor great park,porkka,,24.03.22,30.03.22,Y,04.05.22,04.05.22,04.05.22,06.05.22,5,sivanto
177,15.03.22,windsor great park,porkka,,24.03.22,30.03.22,Y,11.04.22,18.04.22,18.04.22,19.04.22,6,flup
178,15.03.22,windsor great park,porkka,,,30.03.22,Y,,,,,,
179,15.03.22,windsor great park,porkka,,,30.03.22,N,,,,,,
180,15.03.22,windsor great park,porkka,07.04.22,,30.03.22,Y,,,,,,
181,15.03.22,windsor great park,porkka,,24.03.22,30.03.22,Y,11.04.22,26.04.22,26.04.22,27.04.22,14,flup
182,15.03.22,windsor great park,porkka,21.03.22,,,,,,,,,
183,15.03.22,windsor great park,porkka,21.03.22,,,,,,,,,
184,15.03.22,windsor great park,porkka,,31.03.22,30.03.22,Y,,,,,,
185,15.03.22,windsor great park,porkka,,24.03.22,30.03.22,Y,11.04.22,11.04.22,12.04.22,19.04.22,8,control
186,15.03.22,windsor great park,porkka,,,30.03.22,Y,,,,,,
187,15.03.22,windsor great park,porkka,,,30.03.22,Y,,,,,,
188,15.03.22,windsor great park,porkka,,,30.03.22,Y,,,,,,
189,15.03.22,windsor great park,porkka,,11.04.22,30.03.22,Y,,,,,,
190,15.03.22,windsor great park,porkka,21.03.22,,,,,,,,,
191,15.03.22,windsor great park,porkka,,24.03.22,30.03.22,Y,19.04.22,04.05.22,04.05.22,06.05.22,16,flup
192,15.03.22,windsor great park,porkka,,,30.03.22,Y,,,,,,
193,15.03.22,windsor great park,porkka,,,30.03.22,Y,,,,,,
194,18.03.22,windsor great park,porkka,,29.03.22,30.03.22,Y,04.05.22,04.05.22,04.05.22,06.05.22,16,flup
195,18.03.22,windsor great park,porkka,24.03.22,,,,,,,,,
196,18.03.22,windsor great park,porkka,,,30.03.22,Y,,,,,,
197,18.03.22,windsor great park,porkka,,24.03.22,30.03.22,Y,19.04.22,19.04.22,21.04.22,27.04.22,11,sivanto
198,18.03.22,windsor great park,porkka,,29.03.22,30.03.22,Y,19.04.22,26.04.22,26.04.22,27.04.22,6,flup
199,18.03.22,windsor great park,porkka,,24.03.22,30.03.22,Y,,,,,,
200,18.03.22,windsor great park,porkka,,,30.03.22,N,,,,,,
201,18.03.22,windsor great park,porkka,,,30.03.22,Y,,,,,,
202,18.03.22,windsor great park,porkka,,11.04.22,30.03.22,Y,,,,,,
203,18.03.22,windsor great park,porkka,,11.04.22,30.03.22,Y,19.04.22,26.04.22,26.04.22,27.04.22,7,control
204,18.03.22,windsor great park,porkka,,29.03.22,30.03.22,Y,,,,,,
205,18.03.22,windsor great park,porkka,,,30.03.22,N,,,,,,
206,18.03.22,windsor great park,porkka,,,30.03.22,Y,,,,,,
207,18.03.22,windsor great park,porkka,,24.03.22,30.03.22,Y,,,,,,
208,18.03.22,windsor great park,porkka,24.03.22,,,,,,,,,
209,18.03.22,windsor great park,porkka,,29.03.22,30.03.22,Y,,,,,,
210,18.03.22,windsor great park,porkka,,,30.03.22,Y,,,,,,
211,18.03.22,windsor great park,porkka,,29.03.22,30.03.22,N,,,,,,
212,18.03.22,windsor great park,porkka,,,30.03.22,N,,,,,,
213,18.03.22,windsor great park,porkka,,,30.03.22,Y,,,,,,
214,18.03.22,windsor great park,porkka,,11.04.22,30.03.22,Y,04.05.22,04.05.22,04.05.22,06.05.22,8,control
215,18.03.22,windsor great park,porkka,,31.03.22,30.03.22,Y,,,,,,
216,18.03.22,windsor great park,porkka,,24.03.22,30.03.22,Y,19.04.22,04.05.22,04.05.22,06.05.22,23,control
217,18.03.22,windsor great park,porkka,29.03.22,,,,,,,,,
218,18.03.22,windsor great park,porkka,,,30.03.22,Y,,,,,,
219,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,
220,23.03.22,windsor great park,bee_room,,,30.03.22,N,,,,,,
221,23.03.22,windsor great park,bee_room,,29.03.22,30.03.22,Y,,,,,,
222,23.03.22,windsor great park,bee_room,,29.03.22,30.03.22,Y,,,,,,
223,23.03.22,windsor great park,bee_room,,,30.03.22,Y,,,,,,
224,23.03.22,windsor great park,bee_room,,,30.03.22,Y,,,,,,
225,23.03.22,windsor great park,bee_room,,05.04.22,30.03.22,Y,,,,,,
226,23.03.22,windsor great park,bee_room,,,30.03.22,Y,,,,,,
227,23.03.22,windsor great park,bee_room,,,30.03.22,Y,,,,,,
228,23.03.22,windsor great park,bee_room,,29.03.22,30.03.22,Y,,,,,,
229,23.03.22,windsor great park,bee_room,,12.04.22,30.03.22,Y,04.05.22,04.05.22,04.05.22,06.05.22,8,flup
230,23.03.22,windsor great park,bee_room,,,30.03.22,Y,,,,,,
231,23.03.22,windsor great park,bee_room,,12.04.22,30.03.22,Y,,,,,,
232,23.03.22,windsor great park,bee_room,,,30.03.22,Y,,,,,,
233,23.03.22,windsor great park,bee_room,,12.04.22,30.03.22,Y,,,,,,
234,23.03.22,windsor great park,bee_room,,,30.03.22,Y,,,,,,
235,23.03.22,windsor great park,bee_room,,29.03.22,30.03.22,Y,,,,,,
236,23.03.22,windsor great park,bee_room,,,30.03.22,N,,,,,,
237,23.03.22,windsor great park,bee_room,,12.04.22,30.03.22,Y,04.05.22,04.05.22,04.05.22,06.05.22,9,flup
238,23.03.22,windsor great park,bee_room,,29.03.22,30.03.22,Y,,,,,,
239,23.03.22,windsor great park,bee_room,,,30.03.22,N,,,,,,
240,23.03.22,windsor great park,bee_room,,,30.03.22,Y,,,,,,
241,23.03.22,windsor great park,bee_room,,,30.03.22,N,,,,,,
242,23.03.22,windsor great park,bee_room,,05.04.22,30.03.22,Y,,,,,,
243,23.03.22,windsor great park,bee_room,,12.04.22,30.03.22,Y,,,,,,
244,23.03.22,windsor great park,bee_room,,,30.03.22,Y,,,,,,
245,23.03.22,windsor great park,bee_room,,05.04.22,30.03.22,Y,,,,,,
246,23.03.22,windsor great park,bee_room,,,30.03.22,Y,,,,,,
247,23.03.22,windsor great park,bee_room,,14.04.22,30.03.22,Y,,,,,,
248,23.03.22,windsor great park,bee_room,,12.04.22,30.03.22,Y,04.05.22,04.05.22,04.05.22,06.05.22,8,control
249,23.03.22,windsor great park,bee_room,,,30.03.22,Y,,,,,,
250,23.03.22,windsor great park,bee_room,,12.04.22,30.03.22,Y,04.05.22,04.05.22,04.05.22,06.05.22,9,sivanto
251,23.03.22,windsor great park,bee_room,12.04.22,,30.03.22,Y,,,,,,
252,23.03.22,windsor great park,bee_room,,,30.03.22,N,,,,,,
253,23.03.22,windsor great park,bee_room,,05.04.22,30.03.22,Y,,,,,,
254,23.03.22,windsor great park,bee_room,30.03.22,,,Y,,,,,,
255,23.03.22,windsor great park,bee_room,,29.03.22,30.03.22,Y,,,,,,
256,23.03.22,windsor great park,bee_room,,12.04.22,30.03.22,Y,,,,,,
257,23.03.22,windsor great park,bee_room,,,30.03.22,Y,,,,,,
258,23.03.22,windsor great park,bee_room,,,30.03.22,Y,,,,,,
259,23.03.22,windsor great park,bee_room,,,30.03.22,N,,,,,,
260,24.03.22,windsor great park,bee_room,,,02.04.22,Y,,,,,,
261,24.03.22,windsor great park,bee_room,,,02.04.22,N,,,,,,
262,24.03.22,windsor great park,bee_room,,,02.04.22,Y,,,,,,
263,24.03.22,windsor great park,bee_room,,,02.04.22,N,,,,,,
264,24.03.22,windsor great park,bee_room,,05.04.22,02.04.22,Y,04.05.22,04.05.22,04.05.22,06.05.22,15,sivanto
265,24.03.22,windsor great park,bee_room,,,02.04.22,Y,,,,,,
266,24.03.22,windsor great park,bee_room,,,02.04.22,N,,,,,,
267,24.03.22,windsor great park,bee_room,,,02.04.22,Y,,,,,,
268,24.03.22,windsor great park,bee_room,29.03.22,,,,,,,,,
269,24.03.22,windsor great park,bee_room,,05.04.22,02.04.22,Y,,,,,,
270,24.03.22,windsor great park,bee_room,,,02.04.22,Y,,,,,,
271,24.03.22,windsor great park,bee_room,,,02.04.22,Y,,,,,,
272,24.03.22,windsor great park,bee_room,,,02.04.22,N,,,,,,
273,25.03.22,windsor great park,bee_room,05.04.22,,02.04.22,Y,,,,,,
274,25.03.22,windsor great park,bee_room,,,02.04.22,N,,,,,,
275,25.03.22,windsor great park,bee_room,,,02.04.22,Y,,,,,,
276,25.03.22,windsor great park,bee_room,,,02.04.22,N,,,,,,
277,25.03.22,windsor great park,bee_room,,12.04.22,02.04.22,Y,04.05.22,04.05.22,04.05.22,06.05.22,11,control
278,25.03.22,windsor great park,bee_room,,31.03.22,02.04.22,Y,,,,,,
279,25.03.22,windsor great park,bee_room,,31.03.22,02.04.22,Y,,,,,,
280,25.03.22,windsor great park,bee_room,,,02.04.22,Y,,,,,,
281,25.03.22,windsor great park,bee_room,,,02.04.22,N,,,,,,
282,25.03.22,windsor great park,bee_room,,31.03.22,02.04.22,Y,,,,,,
283,25.03.22,windsor great park,bee_room,,,02.04.22,Y,,,,,,
284,25.03.22,windsor great park,bee_room,,,02.04.22,Y,,,,,,
285,25.03.22,windsor great park,bee_room,,12.04.22,02.04.22,Y,,,,,,
286,25.03.22,windsor great park,bee_room,07.04.22,,02.04.22,Y,,,,,,
287,25.03.22,windsor great park,bee_room,,05.04.22,02.04.22,Y,,,,,,
288,25.03.22,windsor great park,bee_room,05.04.22,,02.04.22,Y,,,,,,
289,25.03.22,windsor great park,bee_room,,,02.04.22,Y,,,,,,
290,25.03.22,windsor great park,bee_room,,,02.04.22,N,,,,,,
291,25.03.22,windsor great park,bee_room,,,02.04.22,Y,,,,,,
292,25.03.22,windsor great park,bee_room,,,02.04.22,N,,,,,,
293,25.03.22,windsor great park,bee_room,,,02.04.22,Y,,,,,,
294,25.03.22,windsor great park,bee_room,,05.04.22,02.04.22,Y,,,,,,
295,25.03.22,windsor great park,bee_room,,,02.04.22,Y,,,,,,
296,25.03.22,windsor great park,bee_room,,,02.04.22,N,,,,,,
297,25.03.22,windsor great park,bee_room,,05.04.22,02.04.22,Y,,,,,,
298,25.03.22,windsor great park,bee_room,,,02.04.22,N,,,,,,
299,25.03.22,windsor great park,bee_room,,05.04.22,02.04.22,Y,,,,,,
300,25.03.22,windsor great park,bee_room,,05.04.22,02.04.22,Y,04.05.22,04.05.22,04.05.22,06.05.22,11,flup
301,25.03.22,windsor great park,bee_room,,,02.04.22,Y,,,,,,
302,25.03.22,windsor great park,bee_room,31.03.22,,,,,,,,,
303,25.03.22,windsor great park,bee_room,12.04.22,,02.04.22,Y,,,,,,
304,25.03.22,windsor great park,bee_room,,12.04.22,02.04.22,Y,,,,,,
305,25.03.22,windsor great park,bee_room,05.04.22,,02.04.22,N,,,,,,
306,25.03.22,windsor great park,bee_room,,05.04.22,02.04.22,Y,,,,,,
307,25.03.22,windsor great park,bee_room,01.04.22,,,,,,,,,
308,25.03.22,windsor great park,bee_room,,12.04.22,02.04.22,Y,,,,,,
309,25.03.22,windsor great park,bee_room,,,02.04.22,N,,,,,,
310,25.03.22,windsor great park,bee_room,,,02.04.22,Y,,,,,,
311,25.03.22,windsor great park,bee_room,,14.04.22,02.04.22,Y,,,,,,
312,25.03.22,windsor great park,bee_room,01.04.22,,,,,,,,,
313,25.03.22,windsor great park,bee_room,,05.04.22,02.04.22,Y,,,,,,
314,25.03.22,windsor great park,bee_room,,31.03.22,02.04.22,Y,04.05.22,04.05.22,04.05.22,06.05.22,23,sivanto
315,25.03.22,windsor great park,bee_room,,05.04.22,02.04.22,Y,04.05.22,04.05.22,04.05.22,06.05.22,7,flup
316,25.03.22,windsor great park,bee_room,,05.04.22,02.04.22,Y,,,,,,
317,25.03.22,windsor great park,bee_room,14.04.22,,02.04.22,Y,,,,,,
